feature,r2,vif
number_of_bathrooms,0.5512648608051136,2.2284860548121648
log_living_area,0.48828896337858474,1.9542279302837098
log_total_area,0.4400367538970028,1.7858314933335184
living_area,0.4314571584247562,1.7588824040582964
total_rooms,0.41327554355914276,1.704377564327424
missing_core_feature_count,0.3556404159597917,1.5519284957785304
number_of_bedrooms,0.3404353902754905,1.5161516934901729
rooms_per_bathroom,0.3315224472622391,1.4959365440237797
gross_area,0.3142958102765664,1.4583548051577926
log_built_area,0.2773458232268662,1.383787753729312
amenity_count,0.2719411856666176,1.3735154088006056
bathrooms_per_bedroom,0.26049697250462955,1.3522595078304265
built_area,0.2531318230574685,1.3389243656005254
log_gross_area,0.2478249962080722,1.3294778408730894
property_age,0.18631739026194682,1.2289804255764143
log_lot_size,0.15446358107663283,1.1826811685690763
bedrooms_per_room,0.11333494451110837,1.1278215982568722
gross_total_area_ratio,0.05850113523684297,1.0621361718280558
living_total_area_ratio,0.05792502839815605,1.061486643997838
built_total_area_ratio,0.04751771670601235,1.0498882945535541
lot_size,0.011304182389787809,1.0114334279446142
total_area,0.005120296247012268,1.005146648612588
